CitationStrings,Univ-Department,Discipline,Mannual_ann,CitationStyle
Crisman. J. D. and Thorpe. C. E. (1990). Color vision for road following. In Thorpe. C. E.. editor. Vision and Navigation: The Carnegie Mellon Navlab. chapter 2. Kluwer Academic Publishers.,cmu-cs,Computer Science -- Robotics,journal,unknown
Elfes. A. (1987). Sonar-based real-world mapping and navigation. IEEE Journal of Robotics and Automation. 3(3):249-265.,cmu-cs,Computer Science -- Robotics,journal,apa
Georgeff. M. P. and Lansky. A. L. (1986). Procedural knowledge. In Proc. IEEE Special Issue on Knowledge Representation. pages 1383-1398.,cmu-cs,Computer Science -- Robotics,journal,unknown
Hayes-Roth. B. (1985). A blackboard architecture for control. Artificial Intelligence. 26:pp. 251-321.,cmu-cs,Computer Science -- Robotics,journal,apa
"Laird. J., Newell. A., and Rosenbloom. P. S. (1987). SOAR: An architecture for general intelligence. Artificial Intelligence. 33( 1).",cmu-cs,Computer Science -- Robotics,journal,unknown
"Luchins, A. S. (1942). Mechanization in problem solving. Psychological Monographs. 54(248).",cmu-cs,Computer Science -- Robotics,journal,apa
I. Morgan Kaufmann. Pomerleau. D. and Jochem. T. (1996). Rapidly adapting machine vision for automated vehicle steering. IEEE Expert. 1 1 ( 2 ).,cmu-cs,Computer Science -- Robotics,journal,apa
"Schoppers. M. J. (1987). Universal plans for reactive robots in unpredictable environments. In Proc. Int'l Joint Conf. on Artificial Intelligence, pages 1039-1046.",cmu-cs,Computer Science -- Robotics,journal,apa
Simmons. R. (1994). Structured control for autonomous robots. IEEE Transactions on Robotics and Automation. IO( I ):34-13.,cmu-cs,Computer Science -- Robotics,journal,apa
Taylor. R. H.. Summers. P. D.. and Meyer. J. M. (1983). AML: A manufacturing language. International Journal of Robotics Research. 1(3): 19-41.,cmu-cs,Computer Science -- Robotics,journal,unknown
"Thrun. S. (1998). Learning metric-topological maps for indoor mobile robot navigation. AI Journal, 99(1):21-71.",cmu-cs,Computer Science -- Robotics,journal,apa
"Wiederhold, G. (1992). Mediators in the architecture of future information systems. IEEE Computer, pages 38-49.",cmu-cs,Computer Science -- Robotics,journal,apa
"Dean, C.A. and Correll, R.L. Analysis of diallel matings with missing values. Silvae Genetica 37(5-6):187-197. 1988. ",nc_state-forestry,Forestry,journal,acm-sig-proceedings
"Huber,  D.A.  et  al,  Ordinary  least  squares  estimation  of  general  and  specific combining abilities from half-diallel mating designs. Silvae Genetica 41(4-5): 263-273, 1992.",nc_state-forestry,Forestry,journal,harvard3
"Lu, P.X., Huber, D.A., and White, T.L. Potential biases of incomplete linear models in heritability estimation and breeding value prediction. Can. J. For. Res. 29: 724-736. 1999",nc_state-forestry,Forestry,journal,springer-lecture-notes-in-computer-science
"Swallow, W.H. and Monahan, J.F. Monte Carlo comparison of ANOVA, MIVQUE, REML and ML estimators of variance components. Technometrics 26(1): 47-57. 1984. ",nc_state-forestry,Forestry,journal,unknown
"White T. L. and Hodge, G. R. Best linear prediction of breeding values in a forest tree improvement program. Theor. Appl. Genet. 76:719-727. 1988.",nc_state-forestry,Forestry,journal,acm-sig-proceedings
"Mullin, T.J., and Park, Y.S. Estimating genetic gains from alternative breeding strategies for clonal forestry. Can. J. For. Res. 22: 14-23. 1992. ",nc_state-forestry,Forestry,journal,acm-sig-proceedings
Van Buijtenen J. P. & Burdon R. D. Expected efficiencies of mating designs for advanced generation selection. Can. J. For. Res. 20:1648-1663. 1990. ,nc_state-forestry,Forestry,journal,unknown
"Yanchuk, A. D. General and specific combining ability from disconnected partial diallels of coastal douglas-fir. Silvae Genetica 45(1):37-45 (1996). ",nc_state-forestry,Forestry,journal,springer-lecture-notes-in-computer-science
"Balocchi, C.E. et al. Age trends in genetic parameters for tree height in a nonselected popultaion of loblolly pine. For. Sc. 39:231-251. 1993. ",nc_state-forestry,Forestry,journal,acm-sig-proceedings
"Burdon, R.D. Genetic correlation as a concept for studying genotype-environment interaction in forest tree breeding. Silvae Genet. 26:168-175. 1977.",nc_state-forestry,Forestry,journal,acm-sig-proceedings
"McKeand, S.E. Optimum age for family selection for growth in genetic tests of loblolly pine tree. For. Sci. 43:400-411.1988. ",nc_state-forestry,Forestry,journal,bmc-bioinformatics
"Richards, F. Aflexible growth function for empirical use. Jour. of Exp. Botany. 1959",nc_state-forestry,Forestry,journal,acm-sig-proceedings
"Yamada, Y. Genoype by environmental interaction and genetic correlation of the same trait under different environments. Jap. J. Genet. 37:498-509. ",nc_state-forestry,Forestry,journal,acm-sig-proceedings
"Yanchuk, A.D. General and specific combining ability from disconnected partial diallels of coastal douglas-fir. Silvae Genetica 45(1):37-45 (1996). ",nc_state-forestry,Forestry,journal,springer-lecture-notes-in-computer-science
"Foster, G.S. Trends in genetic parameters with stand development and their influence on early selection for volume growth in loblolly pine. Forest Sci. 32: 4. 1986. ",nc_state-forestry,Forestry,journal,acm-sig-proceedings
"Gwaze, D.P., Woolliams, J. A. and Kanowsk. Genetic parameters for height and stem straightness in Pinus Taeda Linnaeus in Zimbabwe. For. Genet. 4(3):159-169. 1997. ",nc_state-forestry,Forestry,journal,unknown
"Hodge,  G.R.  and  White,  T.L.  Genetic  parameter  estimates  for  growth  traits  at different ages in slash pine and some implications for breeding. Silvae Genetica 41(4-5):252-262 1992. ",nc_state-forestry,Forestry,journal,acm-sig-proceedings
"Mckeand, S.E., and Svensson, J.. Sustainable management of genetic resources. Journal of Forestry 94(3). 1997. ",nc_state-forestry,Forestry,journal,unknown
"Matheson, A.C., Spencer, D. J. and Magnussen, D. Optimum age for selectio in Pinus radiata using basal area under bark for age:age correlations. Silvae Genetica 43: 352-257. 1994. ",nc_state-forestry,Forestry,journal,acm-sig-proceedings
"Williams, C.G. and Megraw, R. A. Juvenile-mature relationships for wood density in Pinus Taeda. Can. J. For. Res. 24: 714-722. 1994. ",nc_state-forestry,Forestry,journal,acm-sig-proceedings
"A. C . Hoffmann, L. P. B. M. Janssen, and J. Prins. Particle segregation in fluidised binary mixtures. Chem. Eng. Sci., 48:1583-1592, 1993.",upitt-chemeng,Chemistry Engineering,journal,ieee
"J. F. G. Harris and A. M. Hildon. Reducing segregation in binary powder mixtures with particular reference to oxygenated washing powders. Industrial & Engineering Chemistry Process Design and Development, 9(3):363-367, 2002.",upitt-chemeng,Chemistry Engineering,journal,ieee
"D. V. Khakhar, J. J. McCarthy, and J. M. Ottino. Mixing and segregation of granular materials in chute flows. Chaos, 9:594-610, 1999.",upitt-chemeng,Chemistry Engineering,journal,ieee
"D. Geromichalos, M. M. Kohonen, F. Mugele, and S. Herminghaus. Mixing and con-densation in a wet granular medium. Physical Review Letters, 90:168702, 2003.",upitt-chemeng,Chemistry Engineering,journal,ieee
"S. R. Hutton, A. J. Forsyth, M. J. Rhodes, and C. F. Osborne. Effect of interpar-ticle force on mixing and segregation of dry granular materials. Physical Review E (Statistical, Nonlinear, and Soft Matter Physics), 70(3):031301, 2004.",upitt-chemeng,Chemistry Engineering,journal,ieee
"D. V. Khakhar, J. J. McCarthy, J. F. Gilchrist, and J. M. Ottino. Chaotic mixing of granular materials in two-dimensional tumbling mixers. Chaos, 9:195-205, 1999.",upitt-chemeng,Chemistry Engineering,journal,ieee
"K. Jain, D. Shi, and J. J. McCarthy. Discrete characterization of cohesion in gas-solid flows. Powder Technol., 146(1):160-167, 2004.",upitt-chemeng,Chemistry Engineering,journal,ieee
"I. Figueroa, H. Li, and J. J. McCarthy. Predicting the impact of adhesive forces on particle mixing and segregation. Powder Technology, 195(3):203-212, 2009.",upitt-chemeng,Chemistry Engineering,journal,ieee
"H. Abe, S. Yasui, A. Kuwata, and H. Takeuchi. Improving powder flow properties of a direct compression formulation using a two-step glidant mixing process. Chemical & Pharmaceutical Bulletin, 57:647-652, 2009.",upitt-chemeng,Chemistry Engineering,journal,ieee
"G. Gold, R. N. Duvall, B. T. Palermo, and J. G. Slater. Powder flow studies ii. Effect of glidants on flow rate and angle of repose. Journal of Pharmaceutical Sciences, 55(11):1291-1295, 1966.",upitt-chemeng,Chemistry Engineering,journal,ieee
"S. Jonat, S. Hasenzahl, A. Gray, and P. C. Schmidt. Mechanism of glidants: In-vestigation of the effect of different colloidal silicon dioxide types on powder flow by atomic force and scanning electron microscopy. Journal of Pharmaceutical Sciences, 93:2635-2644, 2004.",upitt-chemeng,Chemistry Engineering,journal,ieee
"C. C. Lai, S. G. Gilbert, and C. H. Mannheim. Effect of flow conditioners on water sorption and flow properties of egg powder. Journal of Food Engineering, 5(4):321-333, 1986",upitt-chemeng,Chemistry Engineering,journal,ieee
"H. O. Kono, C. C. Huang, and M. Xi. Function and mechanism of flow condition-ers under various loading pressure conditions in bulk powders. Powder Technology, 63(1):81-86, 1990.",upitt-chemeng,Chemistry Engineering,journal,ieee
"D. W. Howell, R. P. Behringer, and C. T. Veje. Fluctuations in granular media. Chaos: An Interdisciplinary Journal of Nonlinear Science, 9(3):559-572, 1999.",upitt-chemeng,Chemistry Engineering,journal,ieee
"T. S. Majmudar and R. P. Behringer. Contact force measurements and stress-induced anisotropy in granular materials. Nature, 435(1079):1079-1082, 2005.",upitt-chemeng,Chemistry Engineering,journal,ieee
"T. Ng and E. Petrakis. Small-strain response of random arrays of spheres using discrete element method. J. Eng. Mech., 122:239-244, 1996.",upitt-chemeng,Chemistry Engineering,journal,bmc-bioinformatics
"Q. M. Tai and M. H. Sadd. A discrete element study of the relationship of fabric to wave propagational behaviours in granular material. Int. J. Numer. Anal. Meth. Geomech., 21:295-311, 1997.",upitt-chemeng,Chemistry Engineering,journal,bmc-bioinformatics
"C. Thornton. Numerical simulations of deviatoric shear deformation of granular media. Geotechnique, 50:43-53, 2000.",upitt-chemeng,Chemistry Engineering,journal,bmc-bioinformatics
"K. Z. Y. Yen and T. K. Chaki. A dynamic simulation of particle rearrangement in powder packings with realistic interactions. Journal of Applied Physics, 71:3164-3173, 1992",upitt-chemeng,Chemistry Engineering,journal,bmc-bioinformatics
"C. Thornton. Force transmission in granular media. KONA, 15:81-90, 1997.",upitt-chemeng,Chemistry Engineering,journal,bmc-bioinformatics
"C. Thornton, K. K. Yin, and M. J. Adams. Numerical simulation of the impact fracture and fragmentation of agglomerates. Journal of Physics D: Applied Physics, 29:424-435, 1996",upitt-chemeng,Chemistry Engineering,journal,bmc-bioinformatics
"P. A. Cundall and O. D. L. Strack. A discrete numerical model for granular assemblies. Geotechnique, 29:47-65, 1979.",upitt-chemeng,Chemistry Engineering,journal,bmc-bioinformatics
"J. Lee and H. J. Herrmann. Angle of repose and angle of marginal stability: molecular dynamics of granular particles. Journal of Physics A, 26:373-383, 1993.",upitt-chemeng,Chemistry Engineering,journal,bmc-bioinformatics
"C. Thornton. Coefficient of restitution for collinear collisions of elasti-perfectly plastic spheres. Journal of Applied Mechanics, 64:383-386, 1997.",upitt-chemeng,Chemistry Engineering,journal,bmc-bioinformatics
"H. Hertz. Ueber die berhrungfester elastischer korper. J. renie ange. Math., 92:1-15, 1881",upitt-chemeng,Chemistry Engineering,journal,bmc-bioinformatics
"C. Thornton. Coefficient of restitution for collinear collisions of elasti-perfectly plastic spheres. J. Appl. Mech., 64:383-386, 1997.",upitt-chemeng,Chemistry Engineering,journal,bmc-bioinformatics
"O. R. Walton. Numerical simulation of inclined chute flows of monodisperse, inelastic, frictional spheres. Mech. Mat., 16:239-247, 1993.",upitt-chemeng,Chemistry Engineering,journal,bmc-bioinformatics
"R. D. Mindlin. Compliance of elastic bodies in contact. J. Appl. Mech., 16:256-270, 1949",upitt-chemeng,Chemistry Engineering,journal,bmc-bioinformatics
"D. Tabor. Surface forces and surface interactions. Journal of Colloid and Interface Science, 58:2-13, 1977.",upitt-chemeng,Chemistry Engineering,journal,bmc-bioinformatics
"G. V. Dedkov. Experimental and theoretical aspects of the modern nanotribology. Phys. Stat. Sol. (a), 179:3-75, 2000.",upitt-chemeng,Chemistry Engineering,journal,bmc-bioinformatics
"C. Srinivasakannan and N. Balasubramanian. An analysis on modeling of fluidized bed drying of granular material. Advanced Powder Technology, 19(1):73 - 82, 2008.",upitt-chemeng,Chemistry Engineering,journal,vancouver
"Z. Hui Wang and G. Chen. Heat and mass transfer in batch fluidized-bed drying of porous particles. Chemical Engineering Science, 55(10):1857-1869, 2000.",upitt-chemeng,Chemistry Engineering,journal,harvard3
"A. Schmidt and U. Renz. Numerical prediction of heat transfer in fluidized beds by a kinetic theory of granular flows. International Journal of Thermal Sciences, 39(9-11):871-885, 2000.",upitt-chemeng,Chemistry Engineering,journal,harvard3
"B. Voglauer and H. P. Jorgl. Dynamic model of a roast process for simulation and control. Mathematical and Computer Modelling of Dynamical Systems, 10(3/4):217-230, 2004.",upitt-chemeng,Chemistry Engineering,journal,harvard3
"T. Shinbrot and F. J. Muzzio. Nonequilibrium patterns in granular mixing and segregation. Physics Today, 53(3):25, 2000.",upitt-chemeng,Chemistry Engineering,journal,harvard3
"C. Thornton. Numerical simulations of discrete particle systems. Powder Technology, 109(2):2, 2000.",upitt-chemeng,Chemistry Engineering,journal,harvard3
"J. T. Oden and J. A. C. Martins. Computer methods for dynamic friction phenomena. Computer Methods in Applied Mechanics and Engineering, 1984.",upitt-chemeng,Chemistry Engineering,journal,american-chemical-society-with-titles
"A. W. Alexander, B. Chaudhuri, A. Faqih, F. J. Muzzio, Clive Davies, and M. S. Tomassone. Avalanching flow of cohesive powders. Powder Technology, 164(1):13-21, 2006",upitt-chemeng,Chemistry Engineering,journal,american-institute-of-physics
"M. A. Gilbertson and I. Eames. The influence of particle size on the flow of fluidised powders. Powder Technology, 131(2-3):197-205, 2003.",upitt-chemeng,Chemistry Engineering,journal,harvard3
"D. Geldart. Types of gas fluidization. Powder Technology, 7(285-292), 1973.",upitt-chemeng,Chemistry Engineering,journal,harvard3
"H. Venables and J. Wells. Powder mixing. Drug Development and Industrial Pharmacy, 27(7):599 -, 2001.",upitt-chemeng,Chemistry Engineering,journal,harvard3
"J. A. Drahun and J. Bridgwater. The mechanisms of free surface segregation. Powder Technology, 36(1):39 - 53, 1983.",upitt-chemeng,Chemistry Engineering,journal,vancouver
"J. R. Johanson. Predicting segregation of bimodal particle mixtures using the flow properties of bulk solid. Pharm. Technol. Eur., 8(1):38-44, 1996.",upitt-chemeng,Chemistry Engineering,journal,vancouver
"J. F. Van Denburg and W. C. Bauer. Segregation of particles in the storage of materials. Chem. Eng., pages 135-142, 1964.",upitt-chemeng,Chemistry Engineering,journal,american-chemical-society-with-titles
"S. S. Hsiau and S. C. Yang. Numerical simulation of self-diffusion and mixing in a vibrated granular bed with the cohesive effect of liquid bridges. Chemical Engineering Science, 58(2):339-351, 2003.",upitt-chemeng,Chemistry Engineering,journal,harvard3
"A. Samadani and A. Kudrolli. Angle of repose and segregation in cohesive granular matter. Physical Review E, 64(5), 2001.",upitt-chemeng,Chemistry Engineering,journal,harvard3
"E. C. Abdullah and D. Geldart. The use of bulk density measurements as flowability indicators. Powder Technology, 102(2):151-165, 1999.",upitt-chemeng,Chemistry Engineering,journal,vancouver
"P. York. The use of glidants to improve the flowability of fine lactose powder. Powder Technology, 11(2):197 - 198, 1975.",upitt-chemeng,Chemistry Engineering,journal,harvard3
"S. B. Savage. Analyses of slow high-concentration flows of granular materials. Journal of Fluid Mechanics, 377(-1):1-26, 1998.",upitt-chemeng,Chemistry Engineering,journal,harvard3
"A. A. Boateng and B. V. Barr. Modelling of particle mixing and segregation in the transverse plane of a rotary kiln. Chemical Engineering Science, 51(17):4167-4181, 1996",upitt-chemeng,Chemistry Engineering,journal,vancouver
"J. P. Bowen and M. G. Hinchey, ""Seven More Myths of Formal Methods,"" IEEE Software, vol. 12, no. 3, pp. 34-41, 1995.",ku-ece,Electrical Engineering and Computer Science,journal,ieee
"H. W. Chun and R. Y. M. Wong, ""CLSS: An Intelligent Crane Lorry Scheduling System,"" Applied Intelligence, vol. 20, no. 2, pp. 179-194, March - April 2004.",ku-ece,Electrical Engineering and Computer Science,journal,ieee
"A. Colmerauer, ""Introduction to Prolog III,"" in ESPRIT '87, North Holland, 1987, pp. 611-629.",ku-ece,Electrical Engineering and Computer Science,journal,unknown
"S. Deris, S. Omatu, H. Ohta, and P. Samat, ""University Timetabling by Constraint-based Reasoning: A Case Study,"" The Journal of Operational Research Society, vol. 48, no. 12, pp. 1178-1190, 1997.",ku-ece,Electrical Engineering and Computer Science,journal,ieee
"E. C. Freuder, ""A sufficient condition for backtrack-free search,"" Journal of the ACM, vol. 29, no. 1, pp. 24-32, 1982.",ku-ece,Electrical Engineering and Computer Science,journal,ieee
"B. P. Gerkey and M. J. Mataric, ""A Formal Analysis and Taxonomy of Task Allocation in Multi-Robot Systems,"" The International Journal of Robotics Research, vol. 23, no. 9, pp. 939-954, 2004.",ku-ece,Electrical Engineering and Computer Science,journal,ieee
"I. Hayes, ""VDM and Z: A comparative case study,"" Formal Aspect of Computing, vol. 4, pp. 76-99, 1992.",ku-ece,Electrical Engineering and Computer Science,journal,ieee
"F. Hayes-Roth, ""Rule-based Systems,"" Communications of the ACM, vol. 28, no. 9, pp. 921-932, September 1985.",ku-ece,Electrical Engineering and Computer Science,journal,ieee
"J. Kosecka and R. Bajcsy, ""Discrete Event Systems for Autonomous Mobile Agents,"" Journal of Robotics and Autonomous Systems, vol. 12, pp. 187-198, 1994",ku-ece,Electrical Engineering and Computer Science,journal,ieee
"J. Kosecka, H. I. Christensen, and R. Bajcsy, ""Experiments in Behavior Composition,"" Journal of Robotics and Autonomous Systems, vol. 19, pp. 187-198, 1994.",ku-ece,Electrical Engineering and Computer Science,journal,ieee
"P. G. Larsen, J. Fitzgerald, and T. Brookers, ""Applying Formal Specification in Industry,"" IEEE Software, vol. 13, no. 7, pp. 48-56, 1996.",ku-ece,Electrical Engineering and Computer Science,journal,ieee
"A. K. Mackworth, ""Consistency in networks of relations,"" Artificial Intelligence, vol. 8, no. 1, pp. 99-118, 1997.",ku-ece,Electrical Engineering and Computer Science,journal,ieee
"A. K. Mackworth, ""Constraint-based design of embedded intelligent systems,"" Constraints, vol. 2, pp. 83-86, 1997.",ku-ece,Electrical Engineering and Computer Science,journal,ieee
"S. Minton, M. D. Johnston, A. B. Philips, and P. Laird, ""Minimizing conflicts: a heuristic repair method for constraint-satisfaction and scheduling problems,"" Artificial Intelligence, vol. 58, no. 1-3, pp. 161-205, 1992.",ku-ece,Electrical Engineering and Computer Science,journal,ieee
"R. R. Murphy, ""Trial by Fire: Activities of the Rescue Robots at the World Trade Center from 11-21 September 2001,"" IEEE Robotics and Automation Magazine, pp. 50-61, September 2004.",ku-ece,Electrical Engineering and Computer Science,journal,unknown
"R. S. Stansbury and A. Agah, ""Constraint-based Task Selection for Autonomous Urban Search and Rescue Robots,"" International Journal on Autonomous Robots, 2007, in review.",ku-ece,Electrical Engineering and Computer Science,journal,american-institute-of-physics
"R. S. Stansbury and A. Agah, ""Constraint-based Task Selection for Long-Term Survival of Autonomous Polar Robot,"" Journal of Intelligent and Robotic Systems, 2007, in review.",ku-ece,Electrical Engineering and Computer Science,journal,american-institute-of-physics
"R. S. Stansbury, E. L. Akers, H. P. Harmon, and A. Agah, ""Survivability, mobility, and functionality of a rover for radars in polar regions,"" International Journal of Control, Automation, and Systems, vol. 2, no. 3, pp. 334-353, 2004.",ku-ece,Electrical Engineering and Computer Science,journal,ieee
"M. Sugeno, ""An introductory survey of fuzzy control,"" Information Sciences, vol. 36, pp. 59-83, 1985.",ku-ece,Electrical Engineering and Computer Science,journal,ieee
"M. Syrjanen, ""Production management as a constraint satisfaction problem,""Journal of Intelligent Manufacturing, vol. 9, pp. 515-522, 1998.",ku-ece,Electrical Engineering and Computer Science,journal,ieee
"D. Wettergreen, P. Tompkins, C. Urmson, M. Wagner, and W. Whittaker, ""Sun-synchronous robotic exploration: technical description and field experimentation,"" International Journal of Robotics Research, vol. 24, no. 1, pp. 3-30, January 2005.",ku-ece,Electrical Engineering and Computer Science,journal,ieee
"Y. Zhang and A. K. Mackworth, ""Constraint nets: a semantic model for hybrid dynamic systems,"" Theoretical Computer Science, vol. 138, no. 1, pp. 211-239, 1995.",ku-ece,Electrical Engineering and Computer Science,journal,ieee
"Y. Zhang and A. K. Mackworth, ""A Constraint-based robotic soccer team,"" Constraints, vol. 7, pp. 7-28, 2005.",ku-ece,Electrical Engineering and Computer Science,journal,ieee
"Amir, N., Elias, J., Klumpp, H., & Przeworski, K. (2003). Attentional bias to threat in social phobia: Facilitated processing of threat or difficulty disengaging attention from threat? Behaviour Research and Therapy, 41(11), 1325-1335.",yale-psych,Psychology,journal,apa
"Anderson, A.K., Christoff, K., Panitz, D., DeRosa, E., & Gabrieli, J.D.E. (2003). Neural correlates of the automatic processing of threat facial signals. Journal of Neuroscience, 23(13), 5627-5633.",yale-psych,Psychology,journal,apa
"Anderson, A.K., & Phelps, E.A. (2001). Lesions of the human amygdala impair enhanced perception of emotionally salient events. Nature, 411, 306-309.",yale-psych,Psychology,journal,apa
"Arend, I., & Botella, J. (2002). Emotional stimuli reduce the attentional blink in subclinical anxious subjects. Psicothema, 14, 209-214.",yale-psych,Psychology,journal,apa
"Beck, A.T., & Clark, D.A. (1997). An information processing model of anxiety: Automatic and strategic processes. Behaviour Research and Therapy, 35, 49-58.",yale-psych,Psychology,journal,apa
"Becker, E.S., Rinck, M., Margraf, J., & Roth, W.T. (2001). The emotional Stroop effect Attentional Capture in Specific Phobia 121 in anxiety disorders: General emotionality or disorder specificity? Journal of Anxiety Disorders, 15, 147-159.",yale-psych,Psychology,journal,apa
"Bishop, S., Duncan, J., Brett, M., Lawrence, A.D. (2004). Prefrontal cortical function and anxiety: Controlling attention to threat-related stimuli. Nature Neuroscience, 7, 184-188.",yale-psych,Psychology,journal,apa
"Bishop, S., Duncan, J., & Lawrence, A.D. (2004). State anxiety modulation of the amygdala response to unattended threat-related stimuli. Journal of Neuroscience, 24(46), 10364-10368.",yale-psych,Psychology,journal,apa
"Bradley, B., Mogg, K., Falla, S., & Hamilton, L.R. (1998). Attentional bias for threatening facial expressions in anxiety: Manipulation of stimulus duration. Cognition and Emotion, 12, 737-753.",yale-psych,Psychology,journal,apa
"Bradley, B., Mogg, K., Millar, N., & White, J. (1995). Selective processing of negative information: Effects of clinical anxiety, concurrent depression, and awareness. Journal of Abnormal Psychology, 104, 532-536.",yale-psych,Psychology,journal,apa
"Bryant, R.A., & Harvey, A.G. (1995). Processing threatening information in posttraumatic stress disorder. Journal of Abnormal Psychology, 104, 537-541.",yale-psych,Psychology,journal,apa
