author,title,container-title,publisher,editor,issued
Konenkamp. D. and Weymouth. T.,Topological mapping for mobile robots using a combination of sonar and vision sensing.,Proceedings of the Twelfth National Conference on Artificial Intelligence,,,1994
Langer. D.. Rosenblatt. J.. and Hebert. M.,An integrated system for autonomous off-road navigation.,Proceedings o f the IEEE International Conference on Robotics and Automation,IEEE,,1994
Munkeby. S. and Spofford. J.,UGV/Demo II program: Status through Demo C and Demo II preparations.,Proc. 10th Annual International AeroSense Symposium,,,1996
"Payton, D.",An architecture for reflexive autonomous vehicle control.,IEEE Conference on Robotics and Automation,,,1986
Rosenblatt. J. and Payton. D.,A fine-grained alternative to the subsumption architecture for mobile robot control.,Proc. of the IEEE/INNS International Joint Conference on Neural Networks,IEEE,,1989
Rosenschein. S. and Kaelbling. L.,The synthesis of digital machines with provable epistemic properties.,Proc. Theoretical Aspects of Reasoning about Knowledge,,,1986
Stentz. A.,Optimal and efficient path planning for partially known environments.,Proceedings of the IEEE International Conference on Robotics and Automation,,,1994
"Thorpe. C.. Amidi. O.. Gowdy. J., Hebert. M.. and Pomerleau. D.",Integrating position measurement and image understanding for autonomous vehicle navigation.,Second International Workshop on High Precision Navigation,,,1991
Thorpe. C. and Gowdy. J.,Annotated maps for autonomous land vehicles.,Proceedings of DARPA Image Understanding Workshop,,,1990
M. Satake,Constitution of mechanics of granular materials through the graph theory.,U.S.-Japan Seminar in Continuum Mechanics and Statistical Approaches in the Mechanics of Granular Materials,,S.C. Cowin and M. Satake,1978
C. S. Campbell,Computer simulation of rapid granular flows.,Proc. US Natl. Congr. Appl. Mech.,,,1986
"K. L. Johnson, K. Kendall, and A. D. Robert",Surface energy and the contact of elastic solids.,Proceedings of the Royal Society of London,,,1971
A. R. Savkoor and G. A. D. Briggs,The effect of tangential force on the contact of elastic solids in adhesion.,Proc. R. Soc. Lond. A,,,1977
"S. R. De Silva, A. Dyroy, and G. G. Enstad",Segregation mechanism and their quantification using segregation testers.,"Segregation in Granular Flows, IUTAM Symposium Series",Kluwer Academic Press,A. D. Rosato and D. L. Blackmore,2000
"E. L. Akers, R. S. Stansbury, and A. Agah",Long-Term Survival of Polar Mobile Robots,"Proceedings of the 4th International Conference on Computing, Communications and Control Technologies (CCCT)",,,July 2006
"D. Bates, S. Silverman, J. Jeter, and K. Blasius",Performance of the Miniature Thermal Emission Spectrometer (Mini-TES) for Mars 2001 Lander,2000 IEEE Aerospace Conference Proceedings,,,March 2000
C. Bessi`ere,Arc consistency in dynamic constraint satisfaction problems,Proceedings of the Ninth National Conference on Artificial Intelligence,,,July 14-19 1991
C. Bessi`ere,Arc consistency for Non-Binary Dynamic CSPs,Proceedings of the Tenth European Conference on Artificial Intelligence,,,August 3-7 1992
"P. Black, K. Hall, M. Jones, T. Larson, and P. Windley",A Brief Introduction to Formal Methods,Proceedings of CICC,,,May 1996
"D. J. Bruemmer, D. D. Dudenhoeffer, and J. L. Marble",Dynamic autonomy for urban search and rescue,AAAI Mobile Robot Workshop,,,August 2002
"F. Carsey, P. Schenker, J. Blamont, S. Gogineni, K. Jezek, C. Rapley, and W. Whittaker",Autonomous Trans-Antarctic expeditions: an initiative for advancing planetary mobility system technology while addressing earth science objectives in Antarctica,5ith International Symposium on Aritificial Intelligence and Autonomy in Space,,,June 2001
"J. Casper, M. Micire, and R. R. Murphy",Issues in Intelligent Robots for Search and Rescue,Proceedings of SPIE Ground Vehicle Technology II,,,2000
"H. Choxi, M. Lomas, J. Franke, and K. Whitebread","Using motivations for interactive robot behavior control,",Proceedings of IEEE International Conference on Robotics and Automation (ICRA),,,May 15-19 2006
A. Dechter and R. Dechter,Belief Maintenance in dynamic constraint networks,Proceedings of the Seventh National Conference on Artificial Intelligence (AAAI-88),,,August 1988
R. Dechter and J. Pearl,"Tree-clustering schemes for constraint-processing,",Proceedings of AAAI,,,August 21-26 1988
C. M. Gifford and A. Agah,Robotic Deployment and Retrieval of Seismic Sensors for Polar Environments,"Proceedings of the 4th International Conference on Computing, Communications and Control Technologies (CCCT)",,,July 2006
"D. Jackson, I. Schechter, and I. Shlyakhter",Alcoa: the Alloy Constraint Analyzer,Proceedings of the International Conference on Software Engineering,,,June 2000
"A. Jacoff, B. Weiss, and E. Messina",Evolution of a Performance Metric for Urban search and Rescue Robots,Proceedings of the 2003 Performance Metrics for Intelligent Systems Workshop,,,August 16-18 2003
"S. Moorehead, R. Simmons, D. Apostolopoulos, and W. R. L. Whittaker",Autonomous Navigation field results of a planetary analog robot in Antarctica,"International Symposium on Artificial Intelligence, Robotics and Automation in Space",,,June 1999
D. K. Pai,Programming parallel distributed control for complex systems,IEEE International Symposium on Intelligent Control,,,September 25-26 1989
D.Pai,LeastConstraint: A framework for the control of complex mechanical systems,Proceedings of the American Control Conference,,,June 1991
L. Purvis,"Dynamic Constraint Satisfaction Using Case-Based Reasoning Techniques,",Proceedings of the Constraint Programming '97 Workshop on Dynamic Constraint Satisfaction,,,October 1997
L. Purvis,"A CBR Integration from Inception to Productization,",Proceedings ofthe AAAI'98 Workshopon Case-Based Reasoning Integrations,,,July 1998
"L. Ray, A. Price, A. Streeter, D. Denton, and J. H. Lever",The Design of a Mobile Robot for Instrument Network Deployment in Antarctica,Proceedings of the 2005 International Conference on Robotics and Automation (ICRA 2005),,,April 2005
R. Simmons and D. Apfelbaum,A task description language for robot control,EEE/RSJ International Conference on intelligent Robots and Systems,,,Oct 13-17 1998
"M. Sqalli, L. Purvis, and E. Freuder",Survey of Applications Integrating Constraint Satisfaction and Case-Based Reasoning,Proceedings of the First International Conference on the Practical Application of Constraint Technologies and Logic Programming,,,April 1999
G.Verfaillie and T.Schiex,"Solution reuse in dynamic constraint satisfaction problems,",Proceedings of the Twelfth National Conference on Artificial Intelligence,,,August 1994
Y. Zhang and A. K. Mackworth,Will the robot do the right thing?,Proceedings of Artificial Intelligence,,,1994
"Doltu, Claudiu","The Evolution of the Banking System in Romania, in Economic Transition in Romania, Past, Present and Future","Proceedings of the Conference ""Romania 2000. 10 Years of Transition",,Christof Ruhl and Daniel Daianu,October 1999
Janacek K,"Privatization in the Czech Republic: Results, Problems and Open Issues.","Paper presented at Conference ""A 10-year Review of Transitional Economies""",WIIW,,2000
"B. Ameliford, F. Fallah, and M. Pedram",Reducing the Subthreshold and Gate-tunneling Leakage of SRAM Cells Using Dual-V and Dual-T Assignment,Proceedings of Design Automation and Test in Europe,,,2006
"F. Azais, A. Ivanov, M. Renovell, and Y. Bertrand",A methodology and design for effective testing of Voltage Controlled Oscillators (VCOs),Proceedings of the Seventh Asian Test Symposium,,,1998
"A. Balijepalli, S. Sinha, and Yu Cao",Compact modeling of carbon nanotube transistor for early stage process-design exploration,Proceedings of the International Symposium on Low Power Electronics and Design,,,2007
"S. Basu, B. Kommineni, and R. Vemuri",Mismatch Aware Analog Performance Macromodeling Using Spline Center and Range Regression on Adaptive Samples,Proceedings of the International Conference on VLSI Design,,,2008
,Variation Aware Spline Center and Range Modeling for Analog Circuit Performance,Proceedings of the International Symposium on Quality Electronic Design,,,2008
K. A. Bowman and J. D. Meindl,Impact of within-die parameter fluctuations on future maximum clock frequency distributions,Proceedings of the IEEE Custom Integrated Circuits Conference,,,2001
K. Choi and D. J. Allstot,Parasitic-aware design and optimisation of RF power amplifiers,"Proceedings of the IEE Circuits, Devices and Systems",,,2002
,Post-optimization design centering for RF integrated circuits,Proceedings of the International Symposium on Circuits and Systems,,,2004
J. Choudhury and G. H. Massiha,Efficient Encoding Scheme for Ultra-Fast Flash ADC,Proceedings of the 5th Topical Meeting on Silicon Monolithic Integrated Circuits in RF Systems,,,2004
"Min Chu, D. J. Allstot, Jeffrey M. Huard, and Kim Y. Wong",NSGA-based parasitic aware Optimization of a 5GHz Low-noise VCO,Proceedings of the Asia South Pacific Design Automation Conference,,,2004
J. H. C. Zhan J. S. Duster and K. T. Kornegay,A Comparative Study of MOS VCOs for Low Voltage High Performance Operation,Proceedings of the International Symposium on Low Power Electronics and Design,,,2004
A. Agarwal et al.,Statistical delay computation considering spatial correlations,Proceedings of the Asia and South Pacific Design Automation Conference,,,2003
A. K. Sultania et al.,Tradeoffs between Gate Oxide Leakage and Delay for Dual Tox Circuits,Proceedings of Design Automation Conference,,,2004
C. Shen et al.,Low voltage CMOS active pixel sensor design methodology with device scaling considerations,Proceedings of the IEEE Hong Kong Electron Devices Meeting,,,2001
H. C. Tseng et al.,A Low-Power Rail-to-Rail 6-bit Flash ADC based on a Novel Complementary Average-Value Approach,Proceedings of the International Symposium on Low Power Electronics and Design,,,2004
M. Liu et al.,Leakage Power Reduction by Dual V designs under probabilistic analysis of V variation,Proceedings of the International Symposium on Low Power Electronics and Design,,,2004
O.A. Adeniran et al.,A CMOS low-power ADC for DVB-T and DVB-H systems,Proceedings of the International Symposium on Circuits and Systems,,,2004
R. Chau et al.,30nm physical gate length CMOS transistors with 1.0ps n-MOS and 1.7ps p-MOS gate delays,IEDM Technical Digest,,,2000
R. Choi et al.,Fabrication of high quality ultra-thin HfO gate dielectric MOSFETs using deuterium anneal,IEDM Technical Digest,,,2002
G. Geelen,A 6-b 1.1G samples/s CMOS A/D Converter,Proceedings of the International Solid State Circuits Conference,,,2001
"D. Ghai, S. P. Mohanty, and E. Kougianos",A 45nm Flash Analog to Digital Converter for Low Voltage High Speed System on Chips,Proceedings of the 13th NASA Symposium on VLSI Design,,,2007
,A Dual Oxide CMOS Universal Voltage Converter for Power Management in Multi-V SoCs,Proceedings of the International Sympoisum on Quality DD Electronic Design,,,2008
,"A Process and Supply Variation Tolerant Nano-CMOS Low Voltage, High Speed, A/D Converter for System-on-Chip",Proceedings of the Great Lakes Symposium on VLSI,,,2008
,Parasitic Aware Process Variation Tolerant VCO Design,Proceedings of the International Sympoisum on Quality Electronic Design,,,2008
,Variability-Aware Optimization of Nano-CMOS Active Pixel Sensors using Design and Analysis of Monte Carlo Experiments,Proceedings of the International Sympoisum on Quality Electronic Design,,,2009
C. Gopalakrishnan and S. Katkoori,Knapbind: an area effcient binding algorithm for low leakage datapaths,Proceedings of the International Conference on Computer Design,,,2003
,Resource allocation and binding approach for low leakage power,Proceedings of the International Conference on VLSI Design,,,2003
R. Gupta et al.,Parasitic-aware design and optimization of CMOS RF integrated circuits,Proceedings of the IEEE RFIC Symposium,,,1998
Chuck Hawkins,Little Vias Can Be Vicious,Proceedings of the 13th NASA Symposium on VLSI Design,,,2007
"I. Hwang, S. Lee, and S. Kim",A digitally controlled phase-locked loop with fast locking scheme for clock synthesis application,Proceedings of the IEEE International Conference on Solid-State Circuits,,,2000
"S. Joeres, A. Kruth, O. Meike, G. Ordu, S. Sappok, R. Wunderlich, and S. Heinen",Design of a Ring-Oscillator with a Wide Tuning Range in 0.13 ¬µm CMOS for the use in Global Navigation Satellite Systems,Proceedings ProRISC,,,2004
"J. Yoo, K. Choi, and A. Tangel",A 1-GSPS CMOS Flash A/D Converter for Systemon-Chip Applications,Proceedings of the IEEE Computer Society Workshop on VLSI,,,2001
Z. K. Kalayjian and A. G. Andreou,Mismatch in photodiode and phototransistor arrays,Proceedings of the International Symposium on Circuits and Systems,,,2000
"Y. Kanno, H. Mizuno, K. Tanaka, and T. Watanabe",Level Converters with High Immunity to Power-Supply Bouncing for High-Speed Sub-1-V LSIs,Proceedings of the Symposium on VLSI Circuits Digest of Technical Papers,,,2000
"J. Kao, S. Narendra, and A. Chandrakasan",Subthreshold leakage modeling and reduction techniques,Proceedings of the IEEE International Conference on Computer-Aided Design,,,2002
K. S. Khouri and N. K. Jha,Leakage power analysis and reduction during behaviora-synthesis,Proceedings of the International Conference on Computer Design,,,2000
"N.-S. Kim, Y.-J. Yoon, U.-R. Cho, and H.-G. Byun",New Dynamic Logic-Level Converters for High Performance Applications,Proceedings of the IEEE International Symposium on Circuits and Systems,,,2003
D. Kim et al.,CMOS Mixed-Signal Circuit Process Variation Sensitivity Characterization for Yield Improvement,Proceedings of the IEEE Custom Integrated Circuits Conference,,,2006
M. J. Krasnicki et al.,ASF: A practical simulation-based methodology for the synthesis of custom analog circuits,Proceedings of the IEEE/ACM International Conference on Computer Aided Design,,,2001
"S. H. Kulkarni, A. N. Srivastava, and D. Sylvester",A New Algorithm for Improved Vdd Assignment in Low Power Dual Vdd Systems,Proceedings of the International Symposium on Low Power Electronics and Design,,,2004
S. H. Kulkarni and D. Sylvester,Fast and Energy-Efficient Asynchronous Level Converters for Multi-VDD Design,Proceedings of the IEEE International Systems-on-Chip Conference,,,2003
A. Kumar and M. Anis,Dual-Vt Design of FPGAs for Subthreshold Leakage Tolerance,Proceedings of the 7th International Symposium on Quality Electronic Design,,,2006
"D. Lee, J. Yoo, and K. Choi",Design Method and Automation of Comparator Generation for Flash A/D Converter,Proceedings of the International Symposium on Quality Electronics Design (ISQED),,,2002
D. Leenaerts et al.,CAD solutions and outstanding challenges for mixed-signal and RF IC design,Proceedings of the IEEE/ACM International Conference on Computer Aided Design,,,2001
"F. Li, Y. Lin, L. He, and J. Cong",Low Power FPGA using Pre-defined Dual-Vdd /Dual-Vt Fabrics,Proceedings of the International Symposium on FPGAs,,,2004
"J. Long, J. Y. Foo, and R. J. Weber",A 2.4 GHz Low-Power Low-Phase-Noise CMOS LC VCO,Proceedings of the IEEE Computer Society Annual Symposium on VLSI,,,2004
"S. P. Mohanty, D. Ghai, E. Kougianos, and B. Joshi","A Universal Level Converter Towards the Realization of Energy Efficient Implantable Drug Delivery Nano-Electro-Mechanical-Systems,",Proceedings of the International Symposium on Quality Electronic Design,,,2009
S. P. Mohanty and E. Kougianos,Simultaneous Power Fluctuation and Average Power Minimization During Nano-CMOS Behavioral Synthesis,Proceedings of the 20th IEEE International Conference on VLSI Design,,,2007
"J. Park, K. Choi, and D. J. Allstot",Parasitic-aware design and optimization of a fully integrated CMOS wideband amplifier,Proceedings of the Asia South Pacific Design Automation Conference,,,2003
K. Roy and H. M. Meimand,Self-Precharging Flip-Flop (SPFF): A New Level Converting Flip-Flop,Proceedings of the 28th European Solid-State Circuits Conference,,,2002
"K. Roy, S. Mukhopadhyay, and H. Mahmoodi-Meimand",Leakage current mechanisms and leakage reduction techniques in deep-submicrometer CMOS circuits,Proceedings of the IEEE,,,2003
"K. Sadeghi, M. Emadi, and F. Farbiz",Using Level Restoring Method for Dual Supply Voltage,Proceedings of the 19th International Conference on VLSI Design,,,2006
"T. Sairam, W. Zhao, and Y. Cao.",Optimizing Finfet technology for high-speed and low-power design,Proceedings of the ACM Great Lakes symposium on VLSI,,,2007
"Frank Sill, Jiaxi You, and Dirk Timmerman",Design of Mixed Gates for Leakage Reduction,Proceedings of the 17th Great Lakes Symposium on VLSI,,,2007
"S. Sinha, A. Balijepalli, and Y. Cao",A Simplified Model of Carbon NanoTube Transistor with Applications to Analog and Digital Design,Proceedings of the International Symposium on Quality Electronic Design,,,2008
A. Srivastava,Simultaneous Vt selection and assignment for leakage optimization,Proceedings of the International Symposium on Low Power Electronics and Design,,,2003
A. Srivastava and D. Sylvester,Minimizing total power by simultaneous Vdd / Vth assignment,Proceedings of the Design Automation Conference,,,2003
"A. Srivastava, D. Sylvester, and D. Blaauw","Power minimization using simultaneous gate sizing, dual-Vdd and dual-Vth assignment",Proceedings of the Design Automation Conference,,,2004
Maria Stanoeva and Angel Popov,Investigation of a Parallel Resistorless ADC,Proceedings of the International Conference on Computer Systems and Technologies,,,2005
"S. Sundareswaran, J. A. Abraham, A. Ardelea, and R. Panda",Characterization of Standard Cells for Intra-Cell Mismatch Variations,Proceedings of the International Symposium on Quality Electronic Design,,,2008
"C. Svensson, S. Andersson, and P. Bogner",On the power consumption of analog to digital converters,Proceedings of the 24th Norchip Conference,,,2006
K. Uyttenhove and M. Steyaert,A 6-bit 1GHz Acquisition Speed CMOS Flash ADC with Digital Error Correction,Proceedings of the Custom Integrated Circuits Conference,,,2000
Xuejin Wang et al.,A Novel Parasitic-Aware Synthesis and Verification Flow for RFIC Design,Proceedings of the 36th European Microwave Conference,,,2006
"C. Xu, W. Sargeant, K. R. Laker, and J. Van der Spiegel",An Extended Frequency Range CMOS Voltage Controlled Oscillator,"Proceedings of the IEEE International Conference on Electronics, Circuits and Systems",,,2002
D. Yang and A. El Gamal,Comparative Analysis of SNR for Image Sensors with Enhanced Dynamic Range,Proceedings of the SPIE Electronic Imaging '99 Conference,,,1999
"J. Yoo, K. Choi, and J. Ghaznavi",A 0.07µm CMOS Flash Analog to Digital Converter for High Speed and Low Voltage Applications,Proceedings of the Great Lakes Symposium on VLSI,,,2003
"C.-C. Yu, W.-P. Wang, and B.-D. Liu",A New Level Converter for Low Power Applications,Proceedings of the IEEE International Symposium on Circuits and Systems,,,2001
C. P. Yuan and Y. C. Chen,A Voltage Level Converter Circuit Design with Low-Power Consumption,Proceedings of the 6th International Conference on ASIC,,,2005
"G. Zhang, A. Dengi, and L. R. Carley",Automatic Synthesis of a 2:1GHz SiGe low noise amplifier,Proceedings of the IEEE RFIC Symposium,,,2002
"Bilen, H., Hocaoglu, E., Ozgur, M., and Sabanovic, A.","A comparative study of conventional visual servoing schemes in microsystem applications,",Proceedings of the 2007 IEEE/RSJ International Conference on Intelligent Robots and Systems,,,"Oct 29 - Nov 2, 2007"
"Farahmand, A. M., A., S., and Jagersand, M.",Global visual-motor estimation for uncalibrated visual servoing,Proceedings of the 2007 IEEE/RSJ International Conference on Intelligent Robots and Systems,,,2007
"Fu, Q., Zhang, Z., and Shi, J.",Uncalibrated visual servoing using more precise model,"2008 IEEE Conference on Robotics, Automation, and Mechatronics",,,2008
"Hao, M., Sun, Z., Fujii, M., andSong, W.",Uncalibratedeye-in-handvisual servoing using recursive least squares,"Systems, Man and Cybernetics, 2007. ISIC. IEEE International Conference",,,October 7-10 2007
"Hill, J.andPark, W. T.",Real time control of a robot with a mobile camera,Proceedings of the 9th ISIR,,,March 1979
"Hosoda, K. and Asada, M.",Versatile visual servoing without knowledge of true jacobian,IEEE/RSJ/GI International Conference on Intelligent Robots and Systems,,,1994
"Jagersand, M., Fuentes, O., and Nelson, R.","Experimental evaluation of uncalibrated visual servoing fro recision manipulation,",Proceedings of International Conference on Robotics and Automation,,,1997
"Kim, G. W. and Lee, B. H.",Adaptive regulation of robot joint velocity in uncalibrated visual servoing,Proceedings of the 2004 IEEE International Conference on Robotics & Automation,,,2004
"Kim, G. W., Lee, B. H., and Kim, M. S.",Uncalibrated visual servoing technique using large residual,Proceedings of the 2003 IEEE International Conference on Robotics & Automation,,,2003
"Lv, X. and Huang, X.",Fuzzy adaptive kalman filtering based estimation of image jacobian for uncalibrated visual servoing,Proceeding of the 2006 IEEE/RSJ International Conference on intelligent Robots and Systems,,,Oct 9-15 2006
"Miura, K., Hashimoto, K., Gangloff, J., and Mathelin, M. d.",Visual servoing without jacobian using modified simplex optimization,Proceeding of the 2003 IEEE International Conference on Robotics and Automation,,,September 2005
"Ozgur, E. and Unel, M.",Positioning the trajectory following tasks in microsystems using model free visual servoing,The 33rd Annual Conference of the IEEE Industrial Electronics Society (IECON),,,Nov 5-8 2007
"Powell, M. J. D.",Some global convergence properties of a variable metric algorithm for minimization without exact line searches,"Nonlinear Programming, SIAM-AMS Proceedings",Scociety for Industrial and Applied Mathematics,"Cottle, R. W. and Lemke, C.",1976
"Qian, J. and Su, J.",Online estimation of image jacobian matrix by kalman-bucy filter for uncalibrated stereo vision feedback,Proceedings ICRA'02 IEEE International conference on Robotics and Automation,,,Aug 2002
"Wang, H.and H., L. Y.","Dynamic visual servoing of robots using uncalibrated eye-in-hand visual feedback,",Proceedings of the 2006 IEEE/RSJ International Conference on Intelligent Robots and Systems,,,Oct 9 -15 2006
"Saxenian, A.",Bangalore: The Silicon Valley of Asia?,Paper presented at the Indian Economic Prospects: Advancing Policy Reform,,,2000
"Thrall, J. H., M.D.",Outsourcing: Threat or Opportunity?,Paper presented at the Radiological Society of North America 90th Scientific Assembly and Annual Meeting,,,2004
"D. L. Martin, T. W. Dorn, S. R. Melvin, A. J. Corr, and W. L. Kranz",Evaluating energy use for pumping irrigation water,Proceedings of the 23rd Annual Central Plains Irrigation Conference,,,2011
"J. Chan, J. G. Wood, and J. G. Schreiber",Development of advanced Stirling radioisotope generator for space exploration,24th Symposium on Space Nuclear Power and Propulsion,,,2007
R. D. Cockfield and T. S. Chan,Stirling radioisotope isotope generator for Mars surface and deep space missions.,37th Intersociety Energy Conversion Engineering Conference,,,2002
S. N. Backhaus and G. W. Swift,Fabrication and use of parallel-plate regenerators in thermoacoustic engines,Proceedings of the 36th Intersociety Energy Conversion Engineering Conference,,,2001
"M. J. Cheadle, G. F. Nellis, and S. A. Klein",Regenerator friction factor and Nusselt number information derived from CFD analysis,Proceedings of the 16th International Cryocooler Conference,,,2008
A. Davis,Fresnel lens solar concentrator derivations and simulations,Proceedings of SPIE,,,2011
"J. E. Noble, G. L. Hickman, and T. Grobstein",Alkali metal compatibility testing of candidate heater head materials for a Stirling engine heat transport system,26th Intersociety Energy Conversion Engineering Conference,,,1991
"C. E. Andraka, K. S. Rawlinson, T. A. Moss, D. R. Adkins, J. B. Moreno, D. R. Gallup, P. G. Cordeiro, and S. Johansson",Solar heat pipe testing of the Stirling Thermal Motors 4-120 Stirling engine,Proceedings of the 31st Intersociety Energy Conversion Engineering Conference,,,1996
"M. Strong, M. R. Sawaya, S. Wang, M. Phillips, D. Cascio, and D. Eisenberg",,Proceedings of National Academy of Sciences,,,2006
J. T. Edsall,,Proceedings of the American Philosophical Society,,,1985
"T. Svedberg, ..., J. F. Danielli",,Proceedings of the Royal Society of London,,,1939
"B. J. Bennion, and V. Daggett",,Proceedings of National Academy of Sciences,,,2004
"G. D. Rose, P. J. Fleming, J. R. Banavar, and A. Maritan",,Proceedings of National Academy of Sciences,,,2006
"T. O. Street, B. W. Bolen, and G. D. Rose",,Proceedings of National Academy of Sciences,,,2006
L. R. Pratt and A. Pohorille,,Proceedings of National Academy of Sciences,,,1992
S. N. Timasheff,,Proceedings of National Academy of Sciences,,,2002
"I. T. Li, and G. C. Walker",,Proceedings of National Academy of Sciences,,,2011
"B. J. Bennion, and V. Daggett",,Proceedings of National Academy of Sciences,,,2003
"L. Hua, R. Zhou, D. Thirumalai, and B. J. Berne",,Proceedings of National Academy of Sciences,,,2008
"D. M. Huang, and D. Chandler",,Proceedings of National Academy of Sciences,,,2000
R. L. Baldwin,,Proceedings of National Academy of Sciences,,,1986
A. Garcia and K. Y. Sanbonmatsu,,Proceedings of National Academy of Sciences,,,2002
"M. V. Athawale, G. Goel, T. Ghosh, T. M. Truskett, and S. Garde",,Proceedings of National Academy of Sciences,,,2007
T. Ooi and M. Oobatake,,Proceedings of National Academy of Sciences,,,1991
"S. Marqusee, V. H. Robbins, and R. L. Baldwin",,Proceedings of National Academy of Sciences,,,1989
"J. M. Scholtz, S. Marqusee, R. L. Baldwin, E. J. York, J. M. Stewart, M. San-toro, and D. W. Bolen",,Proceedings of National Academy of Sciences,,,1991
F. Avbelj and R. L. Baldwin,,Proceedings of National Academy Sciences,,,2009
"P. A. Alexander, Y. He, ..., and P.N. Bryan",,Proceedings of National Academy of Sciences,,,2009
"Andrews, R., Soder, R., & Jacoby, D.; Principal roles, other in-school variables, and academic achievement by ethnicity and SES.",,Paper presented at the Annual Meeting of the American Educational Research Association,,,"April, 1986"
"Doyle, W. & Ponder G.A.",Sources for curriculum history,Perspectives on curriculum development 1776-1976,Association for Supervision and Curriculum Development,O.L. Davis Jr.,1976
"Frase, L.E.",A confirming study of the predictive power of Principal classroom visits on efficacy and teacher flow experiences.,Paper presented at the Annual meeting of the American Educational Research Association,,,"April, 2001; April 27, 2013"
"Frase, L.E., Zhu, N., & Galloway, F.","An examination of the relationships among Principal classroom visits, teacher flow experiences, and student cognitive engagement in two inner city school districts.",Paper presented at the Annual Meeting of the American Educational Research Association,,,"April, 2001"
"Heck, R.H.",The effects of school context and Principal leadership on school climate and school achievement.,Paper submitted for presentations at the annual meeting of the American Educational Research Association,,,1991
"Adamczyk, P. D. and Bailey, B. P.","If not now, when?: the effects of interruption at different moments within task execution.","Proceedings of the SIGCHI Conference on Human Factors in Computing Systems, CHI '04",ACM,,2004
"Ballas, J. A., Heitmeyer, C. L., and Perez-Quinones, M. A.",Evaluating two aspects of direct manipulation in advanced cockpits.,"Proceedings of the SIGCHI Conference on Human Factors in Computing Systems, CHI '92",ACM,,1992
"Balter, O. and Sidner, C. L.",Bifrost inbox organizer: giving users control over the inbox.,"Proceedings of the second Nordic conference on Human-computer interaction, NordiCHI '02",ACM,,2002
"Bellotti, V., Ducheneaut, N., Howard, M., and Smith, I.",Taking email to task: the design and evaluation of a task management centered email tool.,CHI '03: Proceedings of the SIGCHI conference on Human factors in computing systems,ACM,,2003
"Bellotti, V., Ducheneaut, N., Howard, M., Smith, I., and Neuwirth, C.",Innovation in extremis: evolving an application for the critical work of email and information management.,"Proceedings of the 4th conference on Designing interactive systems: processes, practices, methods, and techniques, DIS '02",ACM,,2002
"Bradley, A., Brumby, D. P., Cox, A. L., and Bird, J.",How to manage your inbox: Is a once a day strategy best?,"Proceedings of the 27th International BCS Human Computer Interaction Conference, BCS-HCI '13",British Computer Society,,2013
"Cecchinato, M., Cox, A. L., and Bird, J.","""i check my email on the toilet"": Email proactices and work-home boundary management.",MobileHCI '14,ACM,,2014
"Chewar, C.M., McCrickard, D.S., andSutcli_e, A.G.",Unpacking critical parameters for interface design: evaluating notification systems with the irc framework.,"Proceedings of the 5th conference on Designing interactive systems: processes, practices, methods, and techniques, DIS '04",ACM,,2004
"Cselle, G., Albrecht, K., and Wattenhofer, R.",Buzztrack: topic detection and tracking in email.,IUI '07: Proceedings of the 12th international conference on Intelligent user interfaces,ACM,,2007
"Cutrell, E., Czerwinski, M., and Horvitz, E.","Notification, disruption, and memory: Effects of messaging interruptions on memory and performance.",Proc. Interact 2001,IOS Press,,2001a
"Cutrell, E. B., Czerwinski, M., and Horvitz, E.",Effects of instant messaging interruptions on computing tasks,"CHI '00 extended abstracts on Human factors in computing systems, CHI EA '00",ACM,,2000
"Czerwinski, M., Cutrell, E., and Horvitz, E.",Instant messaging and interruption: Influence of task type on performance.,Proc. OZCHI 2000,,,2000a
"Czerwinski, M., Cutrell, E., and Horvitz, E.",Instant messaging and interruption: Influence of task type on performance.,OZCHI 2000 Conference Proceedings,,,2000b
"Czerwinski, M. and Horvitz, E.",An investigation of memory for daily computing events.,Proceedings of HCI 2002,,,2002
"Czerwinski, M., Horvitz, E., and Wilhite, S.",A diary study of task switching and interruptions.,"Proceedings of the SIGCHI conference on Human factors in computing systems, CHI '04",ACM,,2004
"Dabbish, L. A. and Kraut, R. E.",Email overload at work: an analysis of factors associated with email strain.,"Proceedings of the 2006 20th anniversary conference on Computer supported cooperative work, CSCW '06",ACM,,2006
"Dabbish, L. A., Kraut, R. E., Fussell, S., and Kiesler, S.",Understanding email use: predicting action on a message.,"Proc. CHI 2005, CHI '05",ACM Press,,2005
"Faulring, A., Myers, B., Mohnkern, K., Schmerl, B., Steinfeld, A., Zimmerman, J., Smailagic, A., Hansen, J., and Siewiorek, D.",Agent-assisted task management that reduces email overload.,Proc IUI 2010,ACM Press,,2010
"Fisher, D., Brush, A. J., Gleave, E., and Smith, M. A.","Revisiting Whittaker & Sidner's ""Email Overload"" ten years later.",CSCW '06: Proceedings of the 2006 20th anniversary conference on Computer supported cooperative work,ACM,,2006a
"Fisher, D. and Dourish, P.",Social and temporal structures in everyday collaboration.,CHI '04: Proceedings of the SIGCHI conference on Human factors in computing systems,ACM,,2004
"Fisher, D., Hogan, B., Brush, A., Smith, M., and Jacobs, A.",Using social sorting to enhance email management.,HCIC '06,,,2006b
"Franke, J. L., Daniels, J. J., and Mcfarlane, D. C.",Recovering context after interruption.,Proc Cognitive Science Society 2002,,,2002a
